ID|ROL|SEXO|EDAD|FECHA_FALLECIMIENTO
20160001|CONDUCTOR|MASCULINO|19|2016-01-01
20160002|CONDUCTOR|MASCULINO|70|2016-01-02
20160003|CONDUCTOR|MASCULINO|30|2016-01-03
20160004|CONDUCTOR|MASCULINO|18|2016-01-10
20160005|CONDUCTOR|MASCULINO|29|2016-01-21
20160008|CONDUCTOR|MASCULINO|30|2016-01-24
20160009|PASAJERO_ACOMPAÑANTE|MASCULINO|29|2016-01-24
20160010|CONDUCTOR|MASCULINO|18|2016-01-29
20160012|CONDUCTOR|MASCULINO|22|2016-02-08
20160013|PEATON|MASCULINO|16|2016-02-10
20160015|PEATON|FEMENINO|16|2016-02-14
20160016|PASAJERO_ACOMPAÑANTE|FEMENINO|19|2016-02-14
20160017|PEATON|MASCULINO|59|2016-02-15
20160019|PEATON|FEMENINO|65|2016-02-17
20160020|PEATON|MASCULINO|59|2016-02-17
20160021|CONDUCTOR|MASCULINO|34|2016-02-17
20160022|PASAJERO_ACOMPAÑANTE|MASCULINO|41|2016-02-21
20160025|PASAJERO_ACOMPAÑANTE|MASCULINO|34|2016-02-28
20160026|CONDUCTOR|MASCULINO|30|2016-02-28
20160027|PASAJERO_ACOMPAÑANTE|MASCULINO|34|2016-02-28
20160028|PEATON|MASCULINO|50|2016-03-02
20160029|PEATON|MASCULINO|38|2016-03-04
20160031|CONDUCTOR|MASCULINO|21|2016-03-08
20160034|PEATON|MASCULINO|52|2016-03-12
20160035|CONDUCTOR|MASCULINO|34|2016-03-13
20160036|PASAJERO_ACOMPAÑANTE|MASCULINO|36|2016-03-14
20160037|CONDUCTOR|MASCULINO|20|2016-03-19
20160038|PEATON|MASCULINO|29|2016-03-21
20160039|CONDUCTOR|MASCULINO|20|2016-03-23
20160041|CONDUCTOR|MASCULINO|54|2016-03-29
20160041|PASAJERO_ACOMPAÑANTE|MASCULINO|42|2016-03-29
20160043|PEATON|FEMENINO|56|2016-03-30
20160044|CONDUCTOR|MASCULINO|24|2016-03-31
20160045|CONDUCTOR|MASCULINO|42|2016-04-11
20160047|PEATON|MASCULINO|41|2016-04-15
20160048|PEATON|FEMENINO|42|2016-04-15
20160049|SD|SD|42|2016-04-17
20160050|PEATON|MASCULINO|78|2016-04-19
20160051|CONDUCTOR|MASCULINO|36|2016-04-20
20160053|PEATON|MASCULINO|38|2016-04-22
20160054|CONDUCTOR|MASCULINO|30|2016-04-23
20160055|PEATON|MASCULINO|79|2016-04-25
20160056|CONDUCTOR|MASCULINO|26|2016-04-26
20160058|PEATON|FEMENINO|57|2016-05-04
20160059|PEATON|MASCULINO|37|2016-05-08
20160064|PEATON|MASCULINO|20|2016-05-14
20160065|PEATON|MASCULINO|20|2016-05-20
20160067|PASAJERO_ACOMPAÑANTE|FEMENINO|30|2016-05-21
20160068|CONDUCTOR|MASCULINO|58|2016-05-22
20160069|CONDUCTOR|MASCULINO|30|2016-05-23
20160073|CONDUCTOR|MASCULINO|23|2016-06-11
20160074|CONDUCTOR|MASCULINO|60|2016-06-12
20160075|PEATON|MASCULINO|42|2016-06-12
20160076|PEATON|FEMENINO|53|2016-06-13
20160077|PEATON|FEMENINO|42|2016-06-13
20160078|CONDUCTOR|MASCULINO|30|2016-06-13
20160079|CONDUCTOR|FEMENINO|51|2016-06-16
20160080|CONDUCTOR|MASCULINO|60|2016-06-18
20160081|CONDUCTOR|MASCULINO|40|2016-06-22
20160082|PEATON|MASCULINO|87|2016-06-27
20160083|PEATON|FEMENINO|76|2016-06-28
20160084|PEATON|MASCULINO|57|2016-06-29
20160085|SD|MASCULINO|42|2016-06-29
20160086|PEATON|MASCULINO|75|2016-06-30
20160087|CONDUCTOR|MASCULINO|23|2016-07-02
20160088|PEATON|FEMENINO|70|2016-07-11
20160089|PEATON|MASCULINO|35|2016-07-14
20160090|PEATON|MASCULINO|60|2016-07-14
20160092|CONDUCTOR|MASCULINO|24|2016-07-15
20160093|CONDUCTOR|MASCULINO|35|2016-07-17
20160095|CONDUCTOR|MASCULINO|29|2016-07-23
20160096|CONDUCTOR|MASCULINO|42|2016-07-25
20160097|PEATON|MASCULINO|80|2016-07-26
20160098|CONDUCTOR|FEMENINO|43|2016-07-27
20160099|CONDUCTOR|MASCULINO|45|2016-07-29
20160100|CONDUCTOR|MASCULINO|57|2016-08-03
20160101|SD|MASCULINO|67|2016-08-07
20160102|CONDUCTOR|MASCULINO|29|2016-08-10
20160104|CONDUCTOR|MASCULINO|21|2016-08-14
